"","state","unemployment","income.ineq","housing.severe","violent.crime","overcrowding","high.school.grad","college","food.env.index","food.insecurity","healthy.foods","social.assoc","english.notprof","pcp","mhp","flu.vaccine","poor.physical.health","poor.mental.health","obesity","prevent.hosp.stays","life.expectancy","diabetes","hiv"
"27","MT",0.0408113708026759,4.51065517923796,0.151720232071959,32.5254220643756,0.0217855778148476,0.859642274532053,0.67532325461394,7.40260234956349,0.124562987568694,0.0820532414007751,14.0997642928606,0.00286085800577567,7.44263096152004,28.2991022783739,0.40631711491652,3.55394728195342,3.4755443465124,0.253783187512911,0.321111361167143,78.5388723819258,0.0829855106126362,6.91753699490869
"28","NC",0.0458321458090811,4.68516994890596,0.161320116188232,33.7948070024901,0.0249775786819992,0.864192407793324,0.66143691433986,6.98205940387068,0.153103797431021,0.0673099264068914,11.4761147772205,0.0252403239858951,7.04848454916376,22.7807465432052,0.500524823819607,3.60900516253918,3.96149709118245,0.301533154882518,0.469710889018544,78.0322323066768,0.109666392853246,34.4066385104573
"29","ND",0.0264662600111925,4.41420539041468,0.112314609288275,24.1537780456361,0.0183261707520624,0.853665517925331,0.731422198094855,8.90867700653832,0.075698214042227,0.0695736736347395,15.9966701893381,0.00603161148844628,7.82862516980876,18.2963493130808,0.475060710120427,2.91709224752868,2.96014589377833,0.32195818401812,0.440587320759866,79.8199993291689,0.0849818829404032,5.72518941147676
"30","NE",0.029413991791587,4.20164014912712,0.129940455660633,28.3183602603645,0.0207063436725575,0.891890625206905,0.712797576694227,8.07782736204192,0.119501216878915,0.0558160747222249,13.9652009254591,0.0276692154762025,7.60009889959268,25.2933634353352,0.484921698411938,3.10704096575968,3.19525228472838,0.311945828446374,0.359704465439411,79.536763570461,0.0898221122497234,10.2663337655891
"31","NH",0.0266985476328367,4.20471609499865,0.15516762715361,19.7672883858095,0.0135332596357381,0.892538512790267,0.702761226686243,8.93420983843401,0.089561023462256,0.0497577327475428,10.4197309897188,0.00941692777067687,9.07905221785157,28.3401412703737,0.485708328523714,3.54581381700059,4.00577825171234,0.279854403315473,0.397121027893312,79.5020662331999,0.0930167203482289,10.6602732658373
"32","NJ",0.0464705233063038,5.17040423721164,0.223862313759572,25.192564752236,0.0331862711957296,0.905983564701523,0.683849181809465,8.89881815781303,0.101357674642702,0.0362072311396112,8.38605006833123,0.0629295584660737,8.38918621378382,20.0596425522565,0.477714202338,3.52992014123864,3.49276389725364,0.262095819521624,0.456134936785198,80.574336780106,0.091044621017664,46.4780149748313
"33","NM",0.0619071545107528,5.13468232074393,0.181944217517137,63.633041631937,0.036890240379333,0.718915569169999,0.598632773539101,5.3526051808608,0.157698494063896,0.139948332128702,8.20218284017503,0.0450506007983194,7.45815710642375,37.9561031175844,0.379244831351439,4.29149081263537,4.01977670708655,0.257070234235442,0.316708508503067,78.1513105919582,0.0881466117036306,18.6027398677338
"34","NV",0.0503831824139868,4.25800479375941,0.204972727728206,65.6006406458717,0.0436496063061313,0.820539738388313,0.575805313724157,7.95203074409639,0.12646539938273,0.0531477590337794,4.25620594509687,0.0620793283795021,5.68611451776675,19.6692858761309,0.357836714265558,4.15007197413298,4.40162801410897,0.26510318961828,0.416906475757366,78.4797968995502,0.100221004963578,37.1228055593394
"35","NY",0.0474470112014826,5.48436193552122,0.244788246375029,37.1832394276944,0.0519107453099988,0.818828260924787,0.667915954529235,8.78125992876229,0.116958903031968,0.0235791837365499,7.73549956848939,0.0712573670931464,8.10641672147291,24.424153602756,0.455192331107548,3.61414294819712,3.67588369798525,0.261681893558015,0.42378472708588,81.1312521647568,0.0995653961680831,70.9985554570125
"36","OH",0.0501986892916705,4.7092797731585,0.145066728334271,30.0055188233734,0.0131607306047534,0.87829731140716,0.64725676204507,7.05493251810743,0.150292784585194,0.0677659287828183,11.1898811305045,0.0102441420793712,7.67065937456261,21.2229433988027,0.472174364883495,3.86320810588037,4.13187982705763,0.318090674753738,0.511085897095442,77.0294030816156,0.117069123769397,21.0132140007237
"37","OK",0.0434861536330698,4.5900731458595,0.141740938920923,41.0435584586669,0.0269385611281769,0.833550686920076,0.590255651585656,6.33285627041874,0.159216716121672,0.0869689422850911,11.5442506732214,0.0186078490650398,6.06663643067627,36.3789526558663,0.461739417594861,4.45521219911054,4.49130345744905,0.335548758441397,0.48929918343401,75.9529892246874,0.120395519221009,16.415640380968
"38","OR",0.0415353367571766,4.53111691876317,0.199886238446164,25.4630817147153,0.0306377312652495,0.771024761609124,0.685563138714573,7.82779430990235,0.130547936214751,0.0534419525449063,10.2904332715929,0.0302087340606416,9.24286353028428,47.6943295931598,0.409497158427103,3.75119208358313,4.29421564865395,0.283546794588942,0.286753884064776,79.6767362994444,0.0929835115391226,19.2776180172336
"39","PA",0.0493725295397092,4.77023040822594,0.153794277880713,31.5722438648387,0.0135358571581084,0.874496131655335,0.642062030834791,8.12508389144477,0.125125674190782,0.0455920600755777,12.3132463933524,0.020030897591186,8.10701157515304,19.0019365110388,0.498760333127771,3.76582835804099,4.15059858287048,0.29861426346275,0.457116592709076,78.3258401193583,0.108775996742659,30.1892146756036
"40","RI",0.0447621219801901,5.26203615913787,0.189813187131395,22.9592683035542,0.0159186588360851,0.85199633596137,0.666980924946261,8.21424324699261,0.121440241912576,0.0470505181266074,9.91092361411606,0.044198007461491,9.64478886024627,38.6216439178423,0.468268872700986,3.79033557798477,4.25329200318451,0.270050927249752,0.444110378109903,79.7618265028693,0.0960692754796681,25.3263934321028
"41","SC",0.0429463959635007,4.71559023217093,0.153268477127178,49.9746300285676,0.0181682044792344,0.838798679821516,0.618901012546276,6.86073773642024,0.137786138816635,0.0912839466249431,11.6910390607127,0.014181017156723,6.71446953874725,16.385142288044,0.451520815847721,4.14124694882167,4.38692711240668,0.323864355603659,0.451324360899846,76.9829907326103,0.125859466830561,38.7619976896601
"42","SD",0.0339900519954744,4.16236508141446,0.1216764681435,33.3863620736072,0.0259773885912898,0.853017033442581,0.680786824690285,7.16559351521159,0.115418790087229,0.104252281013427,16.4205131461214,0.00977150440870656,7.75250342264675,17.9074970976824,0.455773480853569,3.12951930137393,2.91506219519511,0.311297653351977,0.475920790269635,79.0855023425154,0.0909887117583072,7.33
"43","TN",0.037421172443798,4.66486513799533,0.150657114926772,62.1765544988315,0.019755054957014,0.896473868055098,0.598756091457261,6.82252505516178,0.145035635954463,0.0844762229982064,11.2798804205931,0.0152944413409838,7.23840765310475,14.252322626912,0.47954701127936,4.47890979777315,4.52724437732511,0.330091500888031,0.529373835732783,76.1357163618201,0.128663674824121,28.8219469558494
"44","TX",0.0430605557551128,4.78769369529809,0.180109261543932,41.9565050317502,0.0496801170249,0.892430559956386,0.60705966771547,6.60703531944825,0.15294403961816,0.0861494929266643,7.62278929491699,0.0766696958156711,6.05039234855018,10.4906040405187,0.431451182945849,3.60370904240885,3.49474688780817,0.289715321020657,0.497081413766006,79.1179658393566,0.0971011090566352,36.816851635178
"45","US",0.0435556876,4.9414857531,0.1837308951,38.646489648,NA,0.846,0.6522563975,7.7,0.129,0.0590124246,9.3003532014,0.0445539242,7.54309,22.868902,NA,NA,NA,0.285,NA,79.063850411,0.102,36.23
"46","UT",0.0329358341489534,3.78218276707548,0.14725432122458,24.4065459787461,0.0340292152819123,0.862677789854785,0.694224696346684,7.86471792084707,0.125737189447444,0.0569539396098753,3.60007505671968,0.0242817446978306,5.81098449169433,31.0745910442124,0.446203792189759,3.38088264875947,3.62758212972407,0.259677965626279,0.25384557961707,79.6829199666625,0.0729961802609536,12.3727253652851
"47","VA",0.0378615816637904,4.46837758105312,0.151859465162046,20.760490333904,0.0199835585349619,0.888326981481688,0.698919611488592,8.70047056213187,0.104095881355652,0.0429562084796822,11.2143874162797,0.0262732995450629,7.66461194065199,15.9734723991823,0.480953592261247,3.39616134960474,3.45614280932902,0.287897058389472,0.443074835413278,79.6672563587107,0.0999050842264835,29.1191655209221
"48","VT",0.0302761158266171,4.41383035543376,0.170532902270819,12.3250872135196,0.0167893762574215,0.889403768981319,0.672516381472971,8.55719217454466,0.118732302371336,0.0328048133864161,13.7482113014477,0.00526206746965071,11.3245007690213,43.3732001639234,0.467600291506389,3.48266086057261,3.98343998340565,0.254659099472947,0.325926679809575,79.7653390882432,0.0821154785402874,12.2323318907669
"49","WA",0.0480203136088896,4.4144275474724,0.176189883339685,29.1338201755674,0.0310734718468954,0.815069358978155,0.6961995212562,8.03458984466515,0.122707625014803,0.0551236473423097,8.70617196203573,0.0373308920486233,8.21647441783158,32.2682004313614,0.443802679893159,3.623577560481,3.73004779850362,0.276130573866795,0.293932717500459,80.3353848206534,0.0871431450564785,20.4156827995262
"50","WI",0.0330560462902917,4.23302518436126,0.149235143633761,29.5575598946776,0.0171861663208117,0.8886676322643,0.687224208365959,8.56346314549257,0.106731721066217,0.0478288525290962,11.5879484499167,0.014342934106403,7.99700430435281,18.9259477132905,0.520032059450438,3.53597412747519,3.69819113393668,0.310769351148127,0.397503451765798,79.5295553847174,0.0920071716196907,12.1410062879344
"51","WV",0.0526622398355662,4.84372163781274,0.114843359277424,33.3358593392676,0.0136938746728305,0.893865958415228,0.545495282682253,7.27664967560772,0.141659014724177,0.0655209212913392,12.9350595926548,0.00356042286042577,7.87959217372954,12.0218718880633,0.412768139231228,5.07573546117503,5.14868288268308,0.362757555248018,0.568802891059153,74.9970408536383,0.143669419453184,10.998423435612
"52","WY",0.0421643274875544,4.20725592595014,0.116674672151861,20.8008776906974,0.0209899932963897,0.837982710712146,0.670986286602192,7.28708008596359,0.125690338589541,0.0871294927386658,13.4478166666829,0.00963792196190777,6.79085578225749,31.8048039991844,0.402056057585252,3.6490301275655,3.57635335561594,0.285430265054418,0.350714264260376,79.0215941342406,0.0850164254334861,6.14879107726716
